      DE/eV    lambda/nm    sigma/A^2        +/-error/A^2
      3.9670   3.1254E+02       0.08229490       0.01810358
      3.9720   3.1215E+02       0.07988196       0.01571193
      3.9770   3.1175E+02       0.07821960       0.01411312
      3.9820   3.1136E+02       0.07698913       0.01316291
      3.9870   3.1097E+02       0.07589078       0.01266210
      3.9920   3.1058E+02       0.07484894       0.01255329
      3.9970   3.1019E+02       0.07406516       0.01296421
      4.0020   3.0981E+02       0.07387055       0.01407300
      4.0070   3.0942E+02       0.07456600       0.01600105
      4.0120   3.0903E+02       0.07636027       0.01881039
      4.0170   3.0865E+02       0.07932679       0.02250200
      4.0220   3.0827E+02       0.08328345       0.02692464
      4.0270   3.0788E+02       0.08760260       0.03158707
      4.0320   3.0750E+02       0.09111603       0.03549980
      4.0370   3.0712E+02       0.09243269       0.03738568
      4.0420   3.0674E+02       0.09076322       0.03645913
      4.0470   3.0636E+02       0.08653309       0.03309397
      4.0520   3.0598E+02       0.08097232       0.02848558
      4.0570   3.0561E+02       0.07523111       0.02376988
      4.0620   3.0523E+02       0.06998883       0.01957856
      4.0670   3.0485E+02       0.06553766       0.01611327
      4.0720   3.0448E+02       0.06193087       0.01335357
      4.0770   3.0411E+02       0.05907939       0.01119810
      4.0820   3.0373E+02       0.05683753       0.00953178
      4.0870   3.0336E+02       0.05507266       0.00825288
      4.0920   3.0299E+02       0.05368853       0.00727967
      4.0970   3.0262E+02       0.05261897       0.00655158
      4.1020   3.0225E+02       0.05182294       0.00603268
      4.1070   3.0189E+02       0.05126246       0.00570006
      4.1120   3.0152E+02       0.05086015       0.00551762
      4.1170   3.0115E+02       0.05048862       0.00542939
      4.1220   3.0079E+02       0.05001225       0.00537132
      4.1270   3.0042E+02       0.04933715       0.00527617
      4.1320   3.0006E+02       0.04844350       0.00509193
      4.1370   2.9970E+02       0.04739873       0.00481715
      4.1420   2.9933E+02       0.04633681       0.00450186
      4.1470   2.9897E+02       0.04542231       0.00422426
      4.1520   2.9861E+02       0.04481582       0.00407510
      4.1570   2.9825E+02       0.04463094       0.00412735
      4.1620   2.9790E+02       0.04489868       0.00439636
      4.1670   2.9754E+02       0.04554913       0.00482075
      4.1720   2.9718E+02       0.04641384       0.00527665
      4.1770   2.9683E+02       0.04728374       0.00563698
      4.1820   2.9647E+02       0.04801742       0.00585499
      4.1870   2.9612E+02       0.04858212       0.00596992
      4.1920   2.9576E+02       0.04898105       0.00601179
      4.1970   2.9541E+02       0.04920422       0.00595720
      4.2020   2.9506E+02       0.04926568       0.00578201
      4.2070   2.9471E+02       0.04925462       0.00551952
      4.2120   2.9436E+02       0.04934139       0.00527981
      4.2170   2.9401E+02       0.04971622       0.00520831
      4.2220   2.9366E+02       0.05050080       0.00540303
      4.2270   2.9331E+02       0.05169744       0.00585467
      4.2320   2.9297E+02       0.05318853       0.00644440
      4.2370   2.9262E+02       0.05478829       0.00699132
      4.2420   2.9228E+02       0.05636359       0.00735468
      4.2470   2.9193E+02       0.05794849       0.00755347
      4.2520   2.9159E+02       0.05969108       0.00775254
      4.2570   2.9125E+02       0.06164427       0.00807414
      4.2620   2.9091E+02       0.06365504       0.00847412
      4.2670   2.9057E+02       0.06549395       0.00883278
      4.2720   2.9023E+02       0.06704113       0.00907361
      4.2770   2.8989E+02       0.06830733       0.00916181
      4.2820   2.8955E+02       0.06935546       0.00908669
      4.2870   2.8921E+02       0.07027421       0.00887681
      4.2920   2.8887E+02       0.07121284       0.00861217
      4.2970   2.8854E+02       0.07239325       0.00843845
      4.3020   2.8820E+02       0.07402479       0.00851525
      4.3070   2.8787E+02       0.07617813       0.00889906
      4.3120   2.8753E+02       0.07872965       0.00948368
      4.3170   2.8720E+02       0.08141632       0.01005624
      4.3220   2.8687E+02       0.08397283       0.01043110
      4.3270   2.8654E+02       0.08628603       0.01058549
      4.3320   2.8621E+02       0.08843527       0.01066585
      4.3370   2.8588E+02       0.09055442       0.01084268
      4.3420   2.8555E+02       0.09263916       0.01115059
      4.3470   2.8522E+02       0.09447843       0.01145720
      4.3520   2.8489E+02       0.09580653       0.01160920
      4.3570   2.8456E+02       0.09654598       0.01159411
      4.3620   2.8424E+02       0.09686293       0.01150795
      4.3670   2.8391E+02       0.09699708       0.01138743
      4.3720   2.8359E+02       0.09708787       0.01114860
      4.3770   2.8326E+02       0.09717338       0.01072231
      4.3820   2.8294E+02       0.09730132       0.01017484
      4.3870   2.8262E+02       0.09761720       0.00965685
      4.3920   2.8230E+02       0.09843060       0.00932879
      4.3970   2.8197E+02       0.10021790       0.00935598
      4.4020   2.8165E+02       0.10348330       0.00987690
      4.4070   2.8133E+02       0.10855688       0.01092914
      4.4120   2.8102E+02       0.11543885       0.01241827
      4.4170   2.8070E+02       0.12373344       0.01414995
      4.4220   2.8038E+02       0.13272999       0.01589596
      4.4270   2.8006E+02       0.14162602       0.01744945
      4.4320   2.7975E+02       0.14976750       0.01865813
      4.4370   2.7943E+02       0.15678602       0.01947916
      4.4420   2.7912E+02       0.16252502       0.01994507
      4.4470   2.7880E+02       0.16687011       0.02002051
      4.4520   2.7849E+02       0.16985815       0.01964069
      4.4570   2.7818E+02       0.17197607       0.01891792
      4.4620   2.7787E+02       0.17412032       0.01819782
      4.4670   2.7756E+02       0.17715459       0.01787817
      4.4720   2.7725E+02       0.18153530       0.01818156
      4.4770   2.7694E+02       0.18727634       0.01908070
      4.4820   2.7663E+02       0.19413044       0.02039823
      4.4870   2.7632E+02       0.20183330       0.02197731
      4.4920   2.7601E+02       0.21023227       0.02375725
      4.4970   2.7570E+02       0.21906887       0.02563402
      4.5020   2.7540E+02       0.22762558       0.02728721
      4.5070   2.7509E+02       0.23488059       0.02829406
      4.5120   2.7479E+02       0.24028162       0.02849571
      4.5170   2.7448E+02       0.24429052       0.02823151
      4.5220   2.7418E+02       0.24790849       0.02806903
      4.5270   2.7388E+02       0.25168384       0.02826493
      4.5320   2.7357E+02       0.25530541       0.02858066
      4.5370   2.7327E+02       0.25805689       0.02855208
      4.5420   2.7297E+02       0.25964967       0.02790810
      4.5470   2.7267E+02       0.26070239       0.02685932
      4.5520   2.7237E+02       0.26226878       0.02595808
